age,income,tenure,region,plan_type,is_active,churn
42.0,7250.0,8.0,South,Basic,True,yes
57.0,4750.0,4.0,East,Basic,True,no
29.0,6750.0,25.0,East,Basic,True,yes
40.0,9000.0,9.0,East,Basic,True,no
45.0,8250.0,10.0,South,Basic,True,no
49.0,8500.0,5.0,North,Basic,False,yes
33.0,8750.0,15.0,East,Basic,False,no
30.0,13750.0,0.0,West,Standard,False,yes
,16500.0,31.0,South,Premium,False,no
66.0,11250.0,34.0,North,Standard,True,no
64.0,,15.0,South,Standard,True,yes
64.0,8750.0,50.0,North,Basic,True,no
52.0,5500.0,16.0,South,Basic,False,yes
22.0,8500.0,0.0,East,Basic,True,no
47.0,,0.0,North,Premium,False,yes
30.0,5750.0,0.0,West,Basic,False,yes
65.0,6500.0,,South,Basic,True,yes
46.0,11000.0,36.0,West,Premium,True,no
31.0,7250.0,0.0,North,Basic,True,yes
34.0,10750.0,25.0,North,Standard,True,no
57.0,10000.0,33.0,East,Standard,True,no
67.0,15000.0,,West,Premium,,no
61.0,8000.0,19.0,North,Basic,True,no
51.0,16750.0,24.0,East,Premium,False,no
67.0,12500.0,45.0,North,Standard,,no
51.0,7500.0,14.0,North,Basic,True,no
31.0,9500.0,9.0,South,Basic,True,no
26.0,6250.0,7.0,South,Basic,True,no
29.0,,7.0,East,Premium,True,no
29.0,11250.0,1.0,North,Standard,False,no
68.0,11750.0,35.0,North,Standard,True,no
53.0,17500.0,29.0,North,Premium,False,no
24.0,17500.0,8.0,East,Premium,True,no
24.0,13750.0,0.0,East,Premium,True,no
,6750.0,5.0,South,Basic,True,
31.0,6000.0,22.0,South,Basic,True,no
39.0,9250.0,18.0,West,Standard,True,no
35.0,12000.0,30.0,East,Standard,True,no
19.0,7500.0,22.0,East,Basic,True,no
57.0,18250.0,29.0,North,Premium,True,no
51.0,8500.0,35.0,West,Basic,,no
58.0,7500.0,,North,Basic,False,yes
43.0,8000.0,27.0,West,Standard,True,no
62.0,7500.0,39.0,North,Basic,True,no
32.0,8250.0,18.0,East,Standard,False,yes
26.0,8500.0,17.0,East,Standard,True,no
21.0,7250.0,9.0,North,Basic,True,no
58.0,13000.0,26.0,North,Basic,True,no
18.0,12250.0,0.0,East,Premium,True,no
24.0,6250.0,0.0,South,Basic,True,no
29.0,12750.0,8.0,North,Premium,True,
29.0,7250.0,0.0,East,Basic,False,yes
23.0,6500.0,17.0,East,Basic,True,no
34.0,6500.0,14.0,North,Basic,True,yes
,8000.0,9.0,East,Standard,True,yes
56.0,6500.0,34.0,North,Basic,False,yes
33.0,12750.0,20.0,South,Standard,True,no
24.0,8750.0,5.0,South,Basic,True,no
27.0,12000.0,20.0,South,Standard,False,no
51.0,9250.0,34.0,South,Basic,True,no
20.0,6250.0,17.0,East,Basic,True,no
68.0,7750.0,40.0,South,Basic,True,no
40.0,10500.0,14.0,East,Standard,True,no
49.0,15250.0,27.0,,Premium,True,yes
33.0,5750.0,0.0,South,Basic,True,no
21.0,7000.0,6.0,West,Basic,False,yes
21.0,7750.0,9.0,East,Standard,False,no
23.0,6000.0,15.0,North,Basic,True,no
67.0,15000.0,54.0,,Premium,False,no
31.0,5250.0,21.0,North,Basic,True,no
31.0,13250.0,14.0,South,Standard,True,no
44.0,6750.0,14.0,South,Standard,False,yes
65.0,30750.0,23.0,South,Premium,True,no
27.0,6500.0,38.0,,Basic,True,no
64.0,15250.0,40.0,South,Standard,True,no
37.0,8750.0,24.0,East,Basic,False,no
20.0,8750.0,0.0,North,Basic,False,yes
22.0,5250.0,0.0,East,Basic,False,yes
61.0,13250.0,34.0,North,Standard,True,no
65.0,18250.0,35.0,West,Premium,False,no
21.0,4250.0,12.0,South,Basic,True,no
58.0,7750.0,14.0,North,Standard,False,yes
26.0,6250.0,18.0,East,Basic,True,yes
27.0,5250.0,13.0,West,Basic,True,no
44.0,7000.0,22.0,North,Basic,False,yes
38.0,7250.0,5.0,North,Basic,False,yes
